Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Raspberry_Pi_2_3","PinSocket_2x20_P2.54mm_Vertical",8.370000,-4.770000,-90.000000,bottom
"C1","22p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",43.500000,-13.000000,90.000000,top
"C2","22p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",43.500000,-16.962500,-90.000000,top
"C3","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",27.900000,-9.087500,-90.000000,top
"C4","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",28.700000,-14.000000,-90.000000,top
"C6","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",35.900000,-24.400000,-90.000000,top
"C7","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",54.700000,-15.400000,180.000000,top
"C9","10u/25V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",14.800000,-16.700000,0.000000,top
"C10","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",14.500000,-10.400000,0.000000,top
"C12","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",23.025000,-19.700000,180.000000,top
"C13","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",23.025000,-17.700000,180.000000,top
"D1","D20V0L1B2WS","D_SOD-323_HandSoldering",7.200000,-22.550000,-90.000000,top
"D2","SS24","D_SMA_Handsoldering",14.400000,-19.500000,180.000000,top
"F1","2920L200","Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder",5.000000,-17.500000,0.000000,top
"J2","CAN In/Out/GND","TerminalBlock_Phoenix_MPT-0,5-6-2.54_1x06_P2.54mm_Horizontal",10.200000,-26.200000,0.000000,top
"J3","GPIO","PinHeader_1x05_P2.54mm_Vertical",62.900000,-11.000000,-90.000000,top
"J5","12V","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",4.000000,-9.430000,-90.000000,top
"JP1","EEPROM Write Enable","PinHeader_1x02_P2.54mm_Vertical",58.460000,-14.600000,90.000000,top
"L1","4.7u","L_TDK_SLF7032",20.975000,-12.700000,0.000000,top
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",31.700000,-8.000000,180.000000,top
"R2","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",61.025000,-17.600000,180.000000,top
"R3","3k9","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",61.025000,-21.600000,180.000000,top
"R4","3k9","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",61.025000,-19.600000,180.000000,top
"R5","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",26.250000,-26.700000,90.000000,top
"R11","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",50.100000,-8.200000,180.000000,top
"R12","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",54.200000,-8.200000,0.000000,top
"R13","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",57.900000,-8.200000,0.000000,top
"R14","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",61.600000,-8.200000,0.000000,top
"U1","MCP2515-xSO","SOIC-18W_7.5x11.6mm_P1.27mm",36.000000,-15.000000,90.000000,top
"U2","SN65HVDA541","SOIC-8_3.9x4.9mm_P1.27mm",30.900000,-26.100000,180.000000,top
"U3","AT24C32-SSHM","SOIC-8_3.9x4.9mm_P1.27mm",54.500000,-19.600000,0.000000,top
"U4","AP63205","TSOT-23-6",13.690000,-13.150000,0.000000,top
"Y1","16MHz","Crystal_SMD_HC49-SD",47.500000,-16.200000,90.000000,top
