"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R3,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"3k9";;;
2;"C1,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22p";;;
3;"C6,C7,C4,C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"100n";;;
4;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
5;"U1";"SOIC-18W_7.5x11.6mm_P1.27mm";1;"MCP2515-xSO";;;
6;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVDA541";;;
7;"H1";"MountingHole_2.7mm";1;"NW";;;
8;"H2";"MountingHole_2.7mm";1;"SW";;;
9;"H3";"MountingHole_2.7mm";1;"NE";;;
10;"H4";"MountingHole_2.7mm";1;"SE";;;
11;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"EEPROM Write Enable";;;
12;"R2,R12,R13,R14,R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"1k";;;
13;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"AT24C32-SSHM";;;
14;"OSHW1";"OSHW-Logo_5.7x6mm_SilkScreen";1;"Logo_Open_Hardware_Small";;;
15;"Y1";"Crystal_SMD_HC49-SD";1;"16MHz";;;
16;"J2";"TerminalBlock_Phoenix_MPT-0,5-6-2.54_1x06_P2.54mm_Horizontal";1;"CAN In/Out/GND";;;
17;"F1";"Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder";1;"2920L200";;;
18;"J5";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";1;"12V";;;
19;"C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10u";;;
20;"J3";"PinHeader_1x05_P2.54mm_Vertical";1;"GPIO";;;
21;"C12,C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22u";;;
22;"L1";"L_TDK_SLF7032";1;"4.7u";;;
23;"U4";"TSOT-23-6";1;"AP63205";;;
24;"D2";"D_SMA_Handsoldering";1;"SS24";;;
25;"C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10u/25V";;;
26;"D1";"D_SOD-323_HandSoldering";1;"D20V0L1B2WS";;;
27;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"0";;;
28;"JP5";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"5VIN";;;
29;"J1";"PinSocket_2x20_P2.54mm_Vertical";1;"Raspberry_Pi_2_3";;;
30;"JP4";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels";1;"VBUS";;;
31;"JP2";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels";1;"IOCTL";;;
32;"JP3";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"3VIO";;;
